playlist,explicit,followers,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence,mean_artists_followers,mean_artists_popularity,category_Chill,category_Decades,category_Dinner,category_Electronic/Dance,category_Focus,category_Hip-Hop,category_Indie,category_Jazz,category_Metal,category_Mood,category_Party,category_Pop,category_R&B,category_Rock,category_Romance,category_Sleep,category_Soul,category_Top Lists,category_Trending,category_Workout,key_0.0,key_1.0,key_2.0,key_3.0,key_4.0,key_5.0,key_6.0,key_7.0,key_8.0,key_9.0,key_10.0,key_11.0,time_signature_0.0,time_signature_1.0,time_signature_3.0,time_signature_4.0,time_signature_5.0
Alternative R&B,0.17307692307692307,0.0368965064268908,0.47996347228190805,0.31240333333333337,0.6339607843137255,0.1929852591985613,0.4712745098039217,0.05934191254901961,0.1517313725490196,0.8821067608563831,0.49019607843137253,0.10256666666666667,0.6928828358525475,0.3963627450980393,0.005122459780108471,0.39398265128031473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.1346153846153846,0.057692307692307696,0.0,0.09615384615384616,0.11538461538461539,0.1346153846153846,0.11538461538461539,0.057692307692307696,0.057692307692307696,0.038461538461538464,0.09615384615384616,0.0,0.0,0.11538461538461539,0.8653846153846154,0.0
Amor Amor,0.0,0.06265741994296097,0.6308473109914357,0.4531224489795918,0.6245714285714284,0.20873239549006684,0.5729387755102041,0.013014125102040815,0.1942714285714286,0.9130441348886054,0.8367346938775511,0.04452653061224489,0.7294519938147762,0.5102040816326531,0.1666567046406903,0.6957093097990976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10204081632653061,0.12244897959183673,0.04081632653061224,0.02040816326530612,0.10204081632653061,0.12244897959183673,0.04081632653061224,0.10204081632653061,0.061224489795918366,0.08163265306122448,0.08163265306122448,0.12244897959183673,0.0,0.0,0.04081632653061224,0.9591836734693877,0.0
An Elegant Affair,0.0,0.004218039320662517,0.33813298693568283,0.6487316981132076,0.4969433962264151,0.1665206548986648,0.35301698113207536,0.03432001,0.15228113207547173,0.8274984742371791,0.660377358490566,0.0471811320754717,0.7050214569315528,0.4598245283018867,0.07674318001396516,0.5594892306512725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05660377358490566,0.03773584905660377,0.03773584905660377,0.05660377358490566,0.05660377358490566,0.11320754716981132,0.09433962264150944,0.1320754716981132,0.07547169811320754,0.11320754716981132,0.16981132075471697,0.05660377358490566,0.0,0.03773584905660377,0.16981132075471697,0.7924528301886793,0.0
An Old Fashioned for the Lady,0.0,0.000834295008855764,0.20529462322101166,0.6942102564102566,0.530128205128205,0.1727491148351864,0.301574358974359,0.01580504,0.1735794871794872,0.7926444037997974,0.6153846153846154,0.0684333333333333,0.6840610695762075,0.4569179487179487,0.028216947117169305,0.4212365521373311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20512820512820512,0.1282051282051282,0.02564102564102564,0.0,0.05128205128205128,0.15384615384615385,0.05128205128205128,0.07692307692307693,0.07692307692307693,0.10256410256410256,0.10256410256410256,0.02564102564102564,0.0,0.0,0.1794871794871795,0.8205128205128205,0.0
Are & Be,0.45098039215686275,0.2088676478304054,0.677615936285786,0.21992901960784306,0.6281764705882352,0.21001151828906425,0.5392941176470585,0.017154234117647056,0.14627254901960787,0.9129382573643189,0.5294117647058824,0.12741372549019603,0.6818261086613063,0.4277803921568629,0.28862078778554917,0.7832543176430751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13725490196078433,0.13725490196078433,0.058823529411764705,0.0392156862745098,0.0,0.0392156862745098,0.1568627450980392,0.09803921568627451,0.058823529411764705,0.11764705882352941,0.0784313725490196,0.0784313725490196,0.0,0.0,0.058823529411764705,0.9019607843137255,0.0392156862745098
Atmospheric Black Metal,0.025,0.0038651659655083398,0.21678853105488005,0.03470669574999998,0.26579500000000006,0.6469370460593095,0.7911,0.6828377500000002,0.1793325,0.902949976389662,0.4,0.07727749999999999,0.760994090077944,0.11694500000000004,0.0022083470073705944,0.08684388757196067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.125,0.05,0.2,0.05,0.025,0.1,0.05,0.15,0.05,0.05,0.0,0.0,0.25,0.75,0.0
Bass Face,0.18333333333333332,0.013173276541099623,0.46787709497206703,0.026371645000000003,0.5970833333333335,0.18182324593375568,0.9149833333333331,0.15210771066666667,0.3001716666666667,0.999528434546665,0.6,0.14289999999999997,0.8937092549486688,0.37673166666666674,0.04087085537660364,0.4627963088384695,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.2833333333333333,0.05,0.03333333333333333,0.016666666666666666,0.18333333333333332,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.15,0.0,0.0,0.03333333333333333,0.9666666666666667,0.0
Beast Mode,0.5,0.17113452921502836,0.666036805783766,0.05563813469387757,0.6395714285714286,0.20113790479753973,0.7948163265306121,0.05343885591836734,0.24232857142857145,0.9662493400117375,0.5918367346938775,0.17306938775510206,0.7793818744623721,0.4240551020408163,0.3523428215930909,0.7518523535387742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,0.2,0.12,0.04,0.04,0.16,0.08,0.06,0.02,0.02,0.08,0.12,0.0,0.0,0.02,0.9,0.06
Beats & Rhymes,0.7777777777777778,3.420598502119916e-06,0.7687725928360171,0.1708417647058824,0.7807647058823529,0.17639459356666903,0.6445588235294117,0.021834054999999998,0.19145,0.9398532220366046,0.5,0.17636764705882352,0.8393044507929638,0.419735294117647,0.4088848474470123,0.8770501749633142,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.1111111111111111,0.027777777777777776,0.027777777777777776,0.05555555555555555,0.05555555555555555,0.08333333333333333,0.05555555555555555,0.027777777777777776,0.027777777777777776,0.19444444444444445,0.19444444444444445,0.0,0.0,0.0,0.9444444444444444,0.0
Bedroom Jams,0.5942028985507246,0.039295449395748513,0.5116339710525939,0.3311601449275362,0.6310144927536232,0.20207658148480137,0.4677826086956521,0.021838941159420287,0.13449130434782605,0.8772599170009553,0.3333333333333333,0.1235463768115942,0.6834601638150456,0.33429130434782617,0.13931422958354361,0.5427472430395032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.14492753623188406,0.10144927536231885,0.07246376811594203,0.043478260869565216,0.043478260869565216,0.057971014492753624,0.11594202898550725,0.057971014492753624,0.08695652173913043,0.08695652173913043,0.10144927536231885,0.08695652173913043,0.0,0.0,0.043478260869565216,0.8985507246376812,0.057971014492753624
